open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date,name
13.55,13.86,13.55,13.73,2270331.0,13.86,13.55,13.73,13.55,2270331.0,1.0,0.0,GT,XNAS,2024-03-28T00:00:00+0000,Goodyear Tire & Rubber Company
13.17,13.57,13.09,13.57,2783851.0,13.57,13.09,13.57,13.17,2783851.0,1.0,0.0,GT,XNAS,2024-03-27T00:00:00+0000,Goodyear Tire & Rubber Company
13.18,13.25,13.065,13.07,3748380.0,13.25,13.065,13.07,13.18,3748380.0,1.0,0.0,GT,XNAS,2024-03-26T00:00:00+0000,Goodyear Tire & Rubber Company
13.06,13.175,13.015,13.06,2494705.0,13.175,13.015,13.06,13.06,2494705.0,1.0,0.0,GT,XNAS,2024-03-25T00:00:00+0000,Goodyear Tire & Rubber Company
13.29,13.35,12.91,13.09,1819795.0,13.35,12.91,13.09,13.29,1819795.0,1.0,0.0,GT,XNAS,2024-03-22T00:00:00+0000,Goodyear Tire & Rubber Company
13.16,13.53,13.16,13.28,2714351.0,13.53,13.16,13.28,13.16,2714351.0,1.0,0.0,GT,XNAS,2024-03-21T00:00:00+0000,Goodyear Tire & Rubber Company
12.5,13.18,12.47,13.15,3273764.0,13.18,12.47,13.15,12.5,3273764.0,1.0,0.0,GT,XNAS,2024-03-20T00:00:00+0000,Goodyear Tire & Rubber Company
12.47,12.635,12.43,12.53,2409202.0,12.635,12.43,12.53,12.47,2409202.0,1.0,0.0,GT,XNAS,2024-03-19T00:00:00+0000,Goodyear Tire & Rubber Company
12.45,12.655,12.3499,12.45,5941415.0,12.655,12.3499,12.45,12.45,5941415.0,1.0,0.0,GT,XNAS,2024-03-18T00:00:00+0000,Goodyear Tire & Rubber Company
12.41,12.71,12.355,12.39,3714523.0,12.71,12.355,12.39,12.41,3714523.0,1.0,0.0,GT,XNAS,2024-03-15T00:00:00+0000,Goodyear Tire & Rubber Company
12.44,12.53,12.3,12.39,4102391.0,12.53,12.3,12.39,12.44,3933808.0,1.0,0.0,GT,XNAS,2024-03-14T00:00:00+0000,Goodyear Tire & Rubber Company
12.58,12.65,12.47,12.57,2256841.0,12.65,12.47,12.57,12.58,2256496.0,1.0,0.0,GT,XNAS,2024-03-13T00:00:00+0000,Goodyear Tire & Rubber Company
12.57,12.73,12.35,12.65,3184518.0,12.73,12.35,12.65,12.57,3183040.0,1.0,0.0,GT,XNAS,2024-03-12T00:00:00+0000,Goodyear Tire & Rubber Company
12.29,12.69,12.28,12.57,2983281.0,12.69,12.28,12.57,12.29,2979372.0,1.0,0.0,GT,XNAS,2024-03-11T00:00:00+0000,Goodyear Tire & Rubber Company
12.41,12.5473,12.06,12.26,2712687.0,12.5473,12.06,12.26,12.41,2712687.0,1.0,0.0,GT,XNAS,2024-03-08T00:00:00+0000,Goodyear Tire & Rubber Company
12.12,12.505,12.1,12.38,3382914.0,12.505,12.1,12.38,12.12,3382914.0,1.0,0.0,GT,XNAS,2024-03-07T00:00:00+0000,Goodyear Tire & Rubber Company
11.88,12.09,11.805,12.06,2021206.0,12.09,11.805,12.06,11.88,2128533.0,1.0,0.0,GT,XNAS,2024-03-06T00:00:00+0000,Goodyear Tire & Rubber Company
11.71,11.98,11.69,11.86,2874484.0,11.98,11.69,11.86,11.71,2874484.0,1.0,0.0,GT,XNAS,2024-03-05T00:00:00+0000,Goodyear Tire & Rubber Company
11.73,11.83,11.52,11.79,3826597.0,11.83,11.52,11.79,11.73,3826597.0,1.0,0.0,GT,XNAS,2024-03-04T00:00:00+0000,Goodyear Tire & Rubber Company
